Year,Name
1955,Nancy Hamilton
1972,Sarah Kernochan
1976,Barbara Kopple
1985,Maria FlorioVictoria Mudd
1986,Brigitte Berman
1987,Aviva Slesin
1990,Barbara Kopple
1991,Allie Light
1992,Barbara Trent
1993,Susan Raymond
1994,Freida Lee Mock
2000,Deborah Oppenheimer
2004,Zana Briski
2007,Eva Orner
2010,Audrey Marrs
2013,Caitrin Rogers
2014,Laura PoitrasMathilde Bonnefoy
2016,Caroline Waterlow
2018[note 1],Elizabeth Chai VasarhelyiShannon Dill
2019[note 1],Julia Reichert
2020[note 1],Pippa Ehrlich
2022,Odessa RaeDiane BeckerMelanie Miller
