Year,Name
1972,Martina Huguenot van der Linden
1975,Claire Wilbur
1976,Lynne LittmanBarbara Myerhoff
1978,Jacqueline Phillips Shedd
1982,Terre Nash
1983,Cynthia Scott
1984,Marjorie Hunt
1986,Vivienne Verdon-Roe
1987,Sue MarxPamela Conn
1991,Debra Chasnoff
1992,Gerardine Wurzburg
1993,Margaret Lazarus
1996,Jessica Yu
1997,Donna DeweyCarol Pasternak
1998,Keiko Ibi
1999,Susan Hannah Hadary
2000,Tracy Seretean
2001[note 1],Sarah KernochanLynn Appelle
2003[note 1],Maryann DeLeo
2005,Corinne Marrinan
2006[note 1],Ruby Yang
2007,Cynthia WadeVanessa Roth
2008,Megan Mylan
2009,Elinor Burkett
2010,Karen Goodman
2011,Sharmeen Obaid-Chinoy
2012,Andrea Nix Fine
2014,Ellen Goosenberg KentDana Perry
2015,Sharmeen Obaid-Chinoy
2016,Joanna Natasegara
2018,Rayka ZehtabchiMelissa Berton
2019,Carol DysingerElena Andreicheva
2020,Alice Doyard
2022,Kartiki GonsalvesGuneet Monga
