Year,Category,Winner,Speech
1959 (32nd) Academy Awards,Best Motion Picture,"Sam Zimbalist, Producer (accepted by his wife Mary Zimbalist)"," MRS. SAM ZIMBALIST:
I believe my husband would have said to you that ""Ben-Hur"" is the sum of the work and talent of many people and that he would accept this award with gratitude for all of them. For himself, I think those of you whose whole lives have been spent as my husband's was, in making films, will know in your own thoughts what this moment would have meant to him. As a symbol of Sam Zimbalist I'm very proud to thank you.
"
1969 (42nd) Academy Awards,Documentary (Feature),"Bernard Chevry, Producer (not present; accepted by Mrs. Arthur Rubinstein and director François Reichenbach)"," FRANÇOIS REICHENBACH:
Thank you. Because of this film I think I met the most wonderful man on earth – music, love, and everything he has. [To Mrs. Rubinstein:] Thank you, madame, for him.

MRS. ARTHUR RUBINSTEIN:
Thank you. Well, I must say that I am terribly moved. I'm happy that we convinced my husband to do that picture because he really wasn't, he was shy about it. He didn't want to do it. I'm very moved because people selected, and the Academy selected it. And that everybody voted, I mean the friends voted, those who liked it. And then I'm also very moved by being in this hall where my husband usually plays. And that he should receive this award, I mean here the producer, it's very moving too. And I'm sorry he's not here.
"
1972 (45th) Academy Awards,Honorary Award,"To Edward G. Robinson who achieved greatness as a player, a patron of the arts and a dedicated citizen...in sum, a Renaissance man.  From his friends in the industry he loves. (accepted by his wife, Jane Robinson)"," MRS. EDWARD G. ROBINSON:
Thank you, Chuck.  My husband knew he was to be honored tonight and he prepared his thanks.  May I read what he wrote:  ""It couldn't have come at a better time in a man's life.  Had it come earlier it would have aroused deep feelings in me; still, not so deep as now.  I am very grateful to my rich, warm, creative, talented, intimate colleagues who have been my life's associates.  How much richer can you be?""  Thank you for Eddie.
"
1976 (49th) Academy Awards,Actor in a Leading Role,Peter Finch (accepted by Paddy Chayefsky and Mrs. Eletha Finch)," PADDY CHAYEFSKY:
For some obscure reason I'm up here accepting an award for Peter Finch, or Finchie as everybody who knew him called him.  There is no reason for me to be here.  There's only one person who should be up here accepting this award and that's the person who Finch wanted up here accepting his award:  Mrs. Peter Finch.  Are you in the house, Eletha?  Come up and get your award.

MRS. PETER FINCH:
I want to say thanks to the members of the Academy and my husband.  I wish he was here tonight to be with us all, but since he isn't here I'll always cherish this for him.  And before he died he said to me, ""Darling, if I win I want to say thanks to my fellow actors who have given me encouragement over the years; and thanks to Paddy Chayefsky who have given him the part; and thanks to Barry who have tell us to come from Jamaica, to come and do this part.""  And he says, ""Most of all, thanks to you, darling, for sending the right vibes the right way.  And thanks, the members of the Academy Award."" Thank you all.
"
1976 (49th) Academy Awards,Actress in a Supporting Role,Beatrice Straight," BEATRICE STRAIGHT:
It's very heavy.  And I'm the dark horse.  And thank you so much, all of you. It's a great, great thrill for me and very unexpected.  Though I should have known that when I had someone like Paddy Chayefsky writing and saying things that we all feel but can't express, and when we have someone like Sidney Lumet who makes one want to act forever, and a producer like Howard Gottfried, then how can I miss?  But I know that my mother would be delighted.  She had great potential for an actress but didn't think she should do it, so she pushed me and was delighted.  And Michael Chekhov, the great actor and teacher who I studied with, who gave me a love and respect for the theater, which is the whole point of why we're all here.  It's a great profession and we have to keep thinking it all the time.  And we all do.  And we all love it.  And I'm so grateful for that and for a wonderful lady, age ninety-three, who lives here in Los Angeles, who's watching tonight.  One of our first women directors, who directed Paul Robeson in ""Othello"" in London:  Ellen van Volkenburg Browne.  Bright as ever.  Thank you.  And last but not least, my husband, who's put up with me for twenty-eight years.  Thank you so, so much.
"
1978 (51st) Academy Awards,Actress in a Leading Role,Jane Fonda," JANE FONDA:
[Speaking simultaniously in sign language:]  I'm so happy.  I wanted to win very much because I'm so proud of ""Coming Home,"" and I want many people to see the movie.  I'm signing part of what I'm saying tonight because, while we were making the movie, we all became more aware of the problems of the handicapped. Over 14 million people are deaf.  They are the invisible handicapped and can't share this evening, so this is my way of acknowledging them.  [End sign language.]

I'm so proud and grateful.  It's been almost eight years.  This film, ""Coming Home,"" was born in Santa Monica where we live, in the cramped offices of the Indochina Peace Campaign, as a lot of us whose lives have been bound up with the war sat on the floor.  And some of them were veterans.  I thank, I thank all of them.  One of them was my husband, Tom Hayden; one of them was Bruce Gilbert, who has become my partner and is the associate producer of ""Coming Home.""

I want to thank Waldo Salt, the first – how do you...?  Heavy.  The first industry heavy who stuck his neck out and believed in the project.  In fact he believed so much in it that he worked for two years for nothing.  And he lead us to Jerry Hellman, our producer, who fought for us.  And I want to thank you, Jerry, very much.  And I want to thank Haskell Wexler who photographed it so sensitively and Bob Jones who came through in the pinch.  And I want to thank Hal Ashby; you're not here, Hal, but I want to thank you for your taste and for your courage, for your ability with the scissors.  And I want to thank Penny Milford and Bobby Carradine and Bruce Dern and my pal Jon Voight, and Mike Medavoy and Eric Pleskow and Arthur Krim and Marcia Nasatir for getting us the money to make it.

And finally I want to thank my children, Troy and Vanessa, for being understanding and forgiving me my absences.  And again my husband, who helped me believe that besides being entertaining movies can inspire and teach and even be healing.  Thank you, all of you.  Thank the Academy very much.
"
1979 (52nd) Academy Awards,Jean Hersholt Humanitarian Award,"Robert Benjamin (accepted by his wife, Jean Benjamin)"," MRS. ROBERT BENJAMIN:
Thank you, Doug.  And on behalf of Bob's entire family, I want to thank the members of the Motion Picture Academy.  My husband would have been proud and happy to have received this distinguished award from his friends and colleagues in an industry to which he devoted fifty-five years of his life. He would have been especially pleased to have his old friend Douglas Fairbanks here to make the presentation.
"
1982 (55th) Academy Awards,Music (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings," JACK NITZSCHE:
There are so many people to thank: Taylor Hackford, a true gentlemen; Joel Sill, for putting it all together; Happy Goday; Will Jennings; and the one that makes it all worthwhile, my wife Buffy.

BUFFY SAINTE-MARIE:
Thank you from me, too, Marty Elfand, Stewart Levine, Joe Cocker, Jennifer Warnes, Curt Sobel, my mom, my little boy Cody, and most of all my husband Jack Nitzsche who gave me the chance to be a part of ""Officer and a Gentleman.""  Thank you very much.

WILL JENNINGS:
All of the above, members of the Academy, Taylor Hackford, Joe and Jennifer, Joel Sill, Stewart Levine, Chuck Kaye, Happy Goday, Mom and Dad in Tyler, Texas, and my lovely wife Carol.  Thank you very much.
"
1983 (56th) Academy Awards,Film Editing,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf"," GLENN FARR:
We wish to extend our thanks to the members of the Academy.  This is truly a beautiful, wonderful moment for each one of us.  We acknowledge the tremendous, magnificent effort that went into the making of this film.  We are privileged to have been a part of it and the experience will long live in our hearts.  We must thank our marvelous, beautiful, we-love-you-Phil Kaufman director, for his leadership and dedication and for the vision that he gave to us.  We thank The Ladd Company, Alan Ladd, Jr., especially Gareth Wigan for his gentlemanly guidance, concern, care, all through the project.  And before I give the microphone to my colleagues, I would like to say that we do thank our assistant editors and apprentice editors for their marvelous, dedicated support all through the project, who kept their sense of humor and carried us through to the end.

LISA FRUCHTMAN:
""The Right Stuff"" required a monumental effort on the part of a lot of people, not all of whom we can thank tonight, but I'd like to just add to those already mentioned our producers Robert Chartoff and Irwin Winkler, who were the first to see the possibilities for a terrific movie in Tom Wolfe's book.  And again, our director Phil Kaufman, who transformed that book into a fantastic script and then into a fantastic movie from which we were able to work with terrific footage and whose vision carried us throughout the editing. For myself, I'd like to just thank my husband for his unwavering support during a difficult year and a half, and my colleagues Francis Coppola, Walter Murch and Bill Reynolds, without whose support and inspiration I wouldn't be here tonight.  Thank you.

STEPHEN A. ROTTER:
If I can just thank my wife Janet, my daughter Zoe, my good friend Dede Allen, and Phil and Rose.  Thank you very much.

DOUGLAS STEWART:
I just want to say thank you very much and God bless you all.

TOM ROLF:
I just want to say I'm deeply grateful.  And if I could ever do anything for anyone here...let me know.
"
1985 (58th) Academy Awards,Costume Design,Emi Wada (with Japanese translator Ohashi Tak)," EMI WADA [via translator]:
I have never dreamed I could receive this golden award.  This figure doesn't need my costume.  I thank you, especially to Mr. Kurosawa and crew worked together.  Also to my husband.  I thank you very, very much.
"
