Year,Category,Winner,Speech
1960,Short Subject (Live Action),"Ezra R. Baker, Producer"," EZRA R. BAKER:
I'd like to share this moment with my two partners: Robert Davis of Bronxville, New York, and Duard Slattery of Wilkes-Barre, Pennsylvania. My love to my wife Patricia and my son Michael. Thank you.
"
1964,Short Subject (Live Action),"Edward Schreiber, Producer"," EDWARD SCHREIBER:
First, I'd like to tell this lady [presenter Merle Oberon] I've been in love with her for many years. Second, I didn't trip; my wife did not throw away the Dramamine tablets, we're through with them. And thank heavens for Pablo Casals at 88, the dearest man in the world. You have made me a very big man around my house. Thank you very much.
"
1964,Sound Effects,Norman Wanstall," NORMAN WANSTALL:
Ladies and gentlemen, it's very difficult to say thank you as sincerely as I'd like to now, but I'm a technician so maybe I can leave the eloquence to the artists that follow. But on behalf of the sound departments that I've worked with and my production company and myself, may I thank you all very sincerely for this tremendous honor. And once more may I thank you for the opportunity of coming to your wonderful country. I think for my wife and I this trip is going to be the greatest experience of our lives. Thank you very much indeed.
"
1972,Actor in a Supporting Role,Joel Grey," JOEL GREY:
Don't let anybody tell you this isn't a terrific thrill.  There are so many people always, and in this case it's very much the same.  Firstly, I'd to thank Hal Prince who started it all.  Next, Martin Baum, Manny Wolf and Cy Feuer.  Bob Fosse, whose gift is enormous and helped me so much.  The other players, among them Liza, Michael, Marisa.  And especially Fred Ebb and John Kander, who wrote me the best songs in the world.  I thank you, and I thank my wife.  You're all loved.  Thank you.
"
1973,Documentary (Feature),"Kieth Merrill, Producer"," KIETH MERRILL:
To all my friends to whom I've already recited this speech, try to remember it because I can't.  To the Academy, thank you very much.  To all of those who gave so much to make this film a possibility, thank you.  The three very special people:  to my mom, who taught me to believe in God, an uncompromising principle; and to my dad, who taught me to believe in myself; and to my best friend, my wife, who taught me to live by what they taught me.  Thank you very much.
"
1973,Jean Hersholt Humanitarian Award,Lew Wasserman," LEW WASSERMAN:
Thank you, Hitch, and my sincere thanks to the Board of Governors of the Academy.  I would also like to thank my wife Edie, Jules Stein, and all of my associates at MCA for permitting me to devote the time to the work that the Academy thought was worthy of this deeply appreciated honor.  Thank you, and good night, Carol.
"
1974,Actor,Art Carney," ART CARNEY:
Thank you, Glenda.  Ladies and gentlemen and members of the Academy.  What other words beside thank you, Paul Mazursky and Josh Greenfeld, for a gem of a script.  And particularly for my wife Barbara, and my agent/manager/father-confessor, William Francis Xavier McCaffrey, for twenty-five years, who said two words to me:  Do it!  You are old!  Thank you very much.
"
1974,Documentary (Feature),"Peter Davis and Bert Schneider, Producers"," PETER DAVIS:
Thank you so much.  It's ironic, of course, to get a prize for a war movie while the suffering in Vietnam continues.  But I feel very lucky that we have it and even luckier in our colleagues in filming, Dick Pearce, Tom Cohen and Brennon Jones, and in editing, Lynzee Klingman and Susan Martin, who deserve the award equally with Bert and me.  Mostly, though, I have been blessed, and not just lucky, with the support and inspiration of my wife Johanna and with the patience of our sons who I hope will grow up in a country and atmosphere somewhat different from the one we had to portray in ""Hearts and Minds.""  And who I hope will go to bed now.  Thank you.

BERT SCHNEIDER:
First of all, I would like to say a special thank you to my late brother Stanley whose support and love and encouragement allowed us to make this film and all of the films that BBS made.  It is ironic that we are here at a time just before Vietnam is about to be liberated.  I will now read a short wire that I have been asked to read by the Vietnamese people.  It is sent by Ambassador Dinh Ba Thi, who is the chief of the Provisional Revolutionary Government's delegation to Paris, the Paris political talks.  It says: ""Please transmit to all our friends in America our recognition of all that they have done on behalf of peace and for the application of the Paris Accords on Vietnam.  These actions serve the legitimate interest of the American people and the Vietnamese people.  Greetings of friendship to all the American people.""  Thank you very much.
"
1974,Music (Song),Music and Lyrics by Al Kasha and Joel Hirschhorn," JOEL HIRSCHHORN:
I'd just like to say thank you to the producer, Irwin Allen; to Lionel Newman; to my wife Jill, who's been such a source of inspiration; and to my family, who encouraged me to drop stenography and pursue songwriting as a full-time career.  Thank you very much.

AL KASHA:
To the great inspiration in my life, my wife Ceil Kasha.  I'm very nervous as you can see.  And I'd like to thank the members of the Academy.  And part of this is owed to Irwin Allen, and Lionel Newman, and Jere Henshaw, and Happy Goday, and to the public and to all the members of the Academy.  And thank you, Gene.
"
1975,Writing (Screenplay Adapted from Other Material),"Lawrence Hauben, Bo Goldman"," LAWRENCE HAUBEN:
Well, thank you for this to the members of the Academy.  And I especially want to thank the producers, Saul Zaentz and Michael Douglas, who gave me the opportunity to come into contact and work with some of the most finest people I've ever known.  Thank you.

BO GOLDMAN:
I loved writing this movie and it seems redundant to me to receive an award when the only award I ever wanted was a chance to write a script like this. May I share this honor with my wife Mab Ashforth and my friend and agent, Arnold Stiefel.  Thank you, members of the Academy.
"
