Year,Category,Winner
1927-28,Actress,Janet Gaynor
1928-29,Actress,Mary Pickford
1929-30,Actress,Norma Shearer
1930-31,Actress,Marie Dressler
1931-32,Actress,Helen Hayes
1932-33,Actress,Katharine Hepburn
1934,Actress,Claudette Colbert
1935,Actress,Bette Davis
1936,Actress,Luise Rainer
1937,Actress,Luise Rainer
1938,Actress,Bette Davis
1939,Actress,Vivien Leigh
1940,Actress,Ginger Rogers
1941,Actress,Joan Fontaine
1942,Actress,Greer Garson
1943,Actress,Jennifer Jones
1944,Actress,Ingrid Bergman
1945,Actress,Joan Crawford
1946,Actress,Olivia de Havilland
1947,Actress,Loretta Young
1948,Actress,Jane Wyman
1949,Actress,Olivia de Havilland
1950,Actress,Judy Holliday
1951,Actress,Vivien Leigh
1952,Actress,Shirley Booth
1953,Actress,Audrey Hepburn
1954,Actress,Grace Kelly
1955,Actress,Anna Magnani
1956,Actress,Ingrid Bergman
1957,Actress,Joanne Woodward
1958,Actress,Susan Hayward
1959,Actress,Simone Signoret
1960,Actress,Elizabeth Taylor
1961,Actress,Sophia Loren
1962,Actress,Anne Bancroft
1963,Actress,Patricia Neal
1964,Actress,Julie Andrews
1965,Actress,Julie Christie
1966,Actress,Elizabeth Taylor
1967,Actress,Katharine Hepburn
1968,Actress,Katharine Hepburn
1968,Actress,Barbra Streisand
1969,Actress,Maggie Smith
1970,Actress,Glenda Jackson
1971,Actress,Jane Fonda
1972,Actress,Liza Minnelli
1973,Actress,Glenda Jackson
1974,Actress,Ellen Burstyn
1975,Actress,Louise Fletcher
1976,Actress in a Leading Role,Faye Dunaway
1977,Actress in a Leading Role,Diane Keaton
1978,Actress in a Leading Role,Jane Fonda
1979,Actress in a Leading Role,Sally Field
1980,Actress in a Leading Role,Sissy Spacek
1981,Actress in a Leading Role,Katharine Hepburn
1982,Actress in a Leading Role,Meryl Streep
1983,Actress in a Leading Role,Shirley MacLaine
1984,Actress in a Leading Role,Sally Field
1985,Actress in a Leading Role,Geraldine Page
