Year,Category,Winner
1949,Actor,Broderick Crawford
1968,Actress,Barbra Streisand
1974,Honorary Award,To Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema.
1976,Short Film (Live Action),"Andre Guttfreund and Peter Werner, Producers"
1977,Music (Original Song),Music and Lyrics by Joseph Brooks
1978,Art Direction,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
1981,Directing,Warren Beatty
1984,Actor in a Supporting Role,Haing S. Ngor
1988,Special Achievement Award,"To Richard Williams for the animation direction of ""Who Framed Roger Rabbit."""
1989,Actor in a Supporting Role,Denzel Washington
1989,Documentary (Short Subject),"Charles Guggenheim, Producer"
1990,Actress in a Supporting Role,Whoopi Goldberg
1990,Makeup,"John Caglione, Jr., Doug Drexler"
1995,Actress in a Leading Role,Susan Sarandon
1996,Visual Effects,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil"
1997,Actress in a Leading Role,Helen Hunt
2006,Actress in a Supporting Role,Jennifer Hudson
2010,Directing,Tom Hooper
2013,Actor in a Leading Role,Matthew McConaughey
2014,Music (Original Song),Music and Lyric by John Stephens and Lonnie Lynn
2015,Documentary (Short Subject),Sharmeen Obaid-Chinoy
2016,Actress in a Supporting Role,Viola Davis
2016,Music (Original Song),Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul
2016,Writing (Adapted Screenplay),Screenplay by Barry Jenkins; Story by Tarell Alvin McCraney
2020,Music (Original Song),"H.E.R. and Dernst Emile II, H.E.R. and Tiara Thomas"
2020,Writing (Original Screenplay),Emerald Fennell
