Year,Category,Winner
1968,Actress in a Leading Role,Barbra Streisand
1976,Music (Original Song)',Barbra Streisand
1990,Actress in a Supporting Role,Whoopi Goldberg
1995,Actress in a Leading Role,Susan Sarandon
1997,Actress in a Leading Role,Helen Hunt
2006,Actress in a Supporting Role,Jennifer Hudson
2011,Documentary (Short Subject),Sharmeen Obaid-Chinoy
2015,Documentary (Short Subject),Sharmeen Obaid-Chinoy
2016,Actress in a Supporting Role,Viola Davis
2020,Writing (Original Screenplay),Emerald Fennell
