Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
1939,Actress in a Supporting Role,Gone with the Wind,Hattie McDaniel," HATTIE McDANIEL:
Academy of Motion Picture Arts and Science[s], fellow members of the motion picture industry and honored guests.  This is one of the happiest moments of my life, and I want to thank each one of you who had a part in selecting me for one of the awards for your kindness.  It has made me feel very, very humble and I shall always hold it as a beacon for anything I may be able to do in the future.  I sincerely hope I shall always be a credit to my race and to the motion picture industry.  My heart is too full to tell you just how I feel.  And may I say thank you and God bless you.
",https://www.youtube.com/watch?v=e7t4pTNZshA,Hattie McDaniel
1941,Actress in a Supporting Role,The Great Lie,Mary Astor," MARY ASTOR:
Ladies and gentlemen, twenty-two years ago this coming June I first faced a motion picture camera – I hasten to add I was very young. I'm going to let you write the rest of the script and just say thank you very, very much.
",,Mary Astor
1942,Actress in a Supporting Role,Mrs. Miniver,Teresa Wright," TERESA WRIGHT:
Thank you.  I wish Major Wyler were here tonight so I could thank him first for his splendid direction.  And I'd like to thank Mr. Mayer and Mr. Franklin for giving me the part.  And I'd like to thank the people who gave me this because they're the people I work with and therefore it's doubly thrilling to get it from them.  Thank you.
",,Teresa Wright
1943,Actress in a Supporting Role,For Whom the Bell Tolls,Katina Paxinou," KATINA PAXINOU:
Ladies and gentlemen, allow me to share this great honor with, which is bestowed on me tonight, with my colleagues of the Royal Theatre of Athens whom, whether they are now dead or alive, fate has ordained me to represent here. I am deeply moved and I wish to thank Paramount, who offered me the chance to play ""Pilar,"" Mr. Buddy DeSylva, my director Sam Wood, and all those who, who are responsible for this happy moment. I would like to thank also the voters and the committee of the Academy Award for giving me, besides this honor, the opportunity to send through the air my, my deep love and admiration to the heroic boys, to the heroic soldiers of your great nation, the American boys who are fighting with their allies all over the world for liberty, justice and human dignity. Thank you again.
",,Katina Paxinou
1946,Actress in a Supporting Role,The Razor's Edge,Anne Baxter," ANNE BAXTER:
I want to thank all the Academy members for this very great honor.  And I'd like to present my appreciation to Mr. Zanuck for the opportunity to play ""Sophie.""  And above all, my deepest thanks to Mr. Eddie Goulding, without whose fine direction and understanding ""Sophie"" never would have been.  I'm deeply grateful.  Thank you again.
",,Anne Baxter
1947,Actress in a Supporting Role,Gentleman's Agreement,Celeste Holm," CELESTE HOLM:
Thank you, Mr. Crisp.  Ladies and gentlemen, I have thought before tonight that I had already received the greatest award that an actress can have, which is to play a part in a picture in which one so wholeheartedly believes as ""Gentleman's Agreement.""  Thank you, everybody, for making this happen.  I am very proud to be a member of an industry which can promote so much understanding in a world which seems to need it so much.
",https://www.youtube.com/watch?v=y7JNv4Et4Jk,Celeste Holm
1949,Actress in a Supporting Role,All the King's Men,Mercedes McCambridge," MERCEDES McCAMBRIDGE:
I'm aware of those who have contributed to this moment, and thankful for them, but I would like to say to every waiting actor: Hold on! Look what can happen. Thank you very much.
",https://www.youtube.com/watch?v=_tDA2RIsEyA,Mercedes McCambridge
1950,Actress in a Supporting Role,Harvey,Josephine Hull," JOSEPHINE HULL:
How wonderful of you.  Thank you all very much, and Mr. Brackett and all of the Academy.  I've heard of these wonderful occasions for years and this is the first time I've been here.  I must thank that 6 foot 4½ inch ""Harvey"" [pointing up to a tall nothing standing beside her].  ""Harvey"" has brought happiness for the past seven years all the way from Boston and New York, and here, which is the gateway to the world through Universal International.  And they gave us a wonderful director, a wonderful staff, a wonderful cast, and you.  Thank you.
",https://www.youtube.com/watch?v=KFArR_cVtIU,Josephine Hull
1951,Actress in a Supporting Role,A Streetcar Named Desire,Kim Hunter (not present; accepted by Bette Davis)," BETTE DAVIS:
I wish I were Kim Hunter tonight.  I've been asked to pick up her award for her.  I know if she were here tonight she would say:  How wonderful, how grateful, and thank you very much.  Where is her award?  [She is given the Oscar.]  I will tell her of your applause.
",https://www.youtube.com/watch?v=5wp4CZE5mwE,Kim Hunter
1952,Actress in a Supporting Role,The Bad and the Beautiful,Gloria Grahame," GLORIA GRAHAME:
Thank you very much.
",https://www.youtube.com/watch?v=DNdmGqLMqE4,Gloria Grahame
1953,Actress in a Supporting Role,From Here to Eternity,Donna Reed," DONNA REED:
Thank you. Oh it was a long walk, I didn't think I was going to make it. Well I'm very proud and I'm very grateful, especially to Columbia Pictures. It was a wonderful, wonderful experience, ""From Here to Eternity,"" but I think even more wonderful is from ""Eternity"" to here. Thank you.
",https://www.youtube.com/watch?v=pLVeHtHMSe0&list=PLJ8RjvesnvDOAREEaQ6BpUhcsgN7kIJpu&index=9,Donna Reed
1954,Actress in a Supporting Role,On the Waterfront,Eva Marie Saint (accepted in New York)," EVA MARIE SAINT (in New York):
[Kisses the Oscar.]  I may have the baby right here.  But I would love to thank Elia Kazan, and Sam Spiegel, Marlon Brando, Karl Malden, Boris Kaufman, all the longshoremen.  Thank you.
",https://www.youtube.com/watch?v=GbPRWOuv5DU,Eva Marie Saint
1954,Honorary Award,None,To Greta Garbo for her unforgettable screen performances. (not present; accepted by Nancy Kelly in New York)," NANCY KELLY (in New York):
Thank you.  And thank you, Mr. Brackett, for your very gracious introduction. As we all know in this year of awards, there may be more than one Kelly but there is only one Garbo.  And for me, and I believe for all of us, whether in motion pictures or in the theatre, this lady stands alone as a great star and as a great legend.  And it is a very special thrill and an honor for me to accept this award in her behalf.  Thank you very much.
",,Greta Garbo
1954,Honorary Award,None,"To Danny Kaye for his unique talents, his service to the Academy, the motion picture industry, and the American people. (accepted in New York)"," DANNY KAYE (in New York):
There are many unsung heroes behind this award. Of the very nice things that were said I believe the thing that pleases me most is the assignment we got to do a documentary film for UNICEF. If through the medium of the motion picture we can make the world better understand the problem of the world's children, I think perhaps we'll be on our way to making the world understand itself a little better. I'm grateful and proud indeed to be a part of a tremendous industry that has it within its power to accomplish this, and I'm grateful indeed to be one of its servants. Thank you very much.
",https://www.youtube.com/watch?v=iZFFkqykJ_Q&list=PLJ8RjvesnvDP-m4QFFJBXT3pSN4amLqoo&index=10,Greta Garbo
1955,Actress in a Supporting Role,East of Eden,Jo Van Fleet," JO VAN FLEET:
I'm so happy.  Thank you.  There's so many, many people responsible for my being up here tonight.  I'd like to thank them all but I must thank Elia Kazan.  Thank you, Gadg.  Thank you.
",https://www.youtube.com/watch?v=NkJR51nEPko&list=PLJ8RjvesnvDOMNIUTSyrTQZYKD209bXPj&index=17,Jo Van Fleet
1956,Actress in a Supporting Role,Written on the Wind,Dorothy Malone," DOROTHY MALONE:
Thank you all so much. I'd like to, I don't know how much time we have, but I'd like to accept this award in the name of my late little brother Bill. And I'd like to thank especially the Academy because I'm sure that this year, the four other girls, such stiff competition, it was a real... I really appreciate it. And I know I haven't got time to thank such loyal friends as Edna Benoit, and my producer Mr. Zugsmith. And Universal and all it's board of directors have been, had such confidence in me, like Mr. Muhl. And I want to thank the Screen Extras Guild and the Screen Actors Guild because we've had a lot of ups and downs together, and you understand all the crews I've worked with. Thank you so much and God love you all.
",https://www.youtube.com/watch?v=cHl9D9I0Svw&list=PLJ8RjvesnvDN7dh5oiZzTrzLkECJHWNKn&index=10,Dorothy Malone
1957,Actress in a Supporting Role,Sayonara,Miyoshi Umeki," MIYOSHI UMEKI:
Thank you.  I really don't know what to say.  I wish somebody were to help me right now, 'cause I didn't expect so I had nothing in my mind.  But right now I thank you for everyone who help me, and you, and you, and all American people.  Thank you.
",https://www.youtube.com/watch?v=ftg8Aqjk744&list=PLJ8RjvesnvDP2aYfwy68FWdcc00RBr2LC&index=5,Miyoshi Umeki
1958,Actress in a Supporting Role,Separate Tables,Wendy Hiller (not present; accepted by producer Harold Hecht)," HAROLD HECHT:
It's a great honor to be able to accept this great award for Wendy Hiller, a great actress.  Thank you.
",https://www.youtube.com/watch?v=0NpFZRRXLsU&list=PLJ8RjvesnvDMHxTASvuE1x-J0SJisxG7R&index=5,Wendy Hiller
1959,Actress in a Supporting Role,The Diary of Anne Frank,Shelley Winters," SHELLEY WINTERS:
You know, it takes a lot of people to put this in your hand. First, someone has to write a dimensional role in a very fine motion picture. And next, somebody has to get you the part. Then you have to have a great director. And then you have to be nominated and voted. So I would like to thank the memory of that wonderful little girl, Miss Anne Frank, who wrote with such depth and perception about human beings. I'd like to thank my wonderful friend and creative agent, Mr. Herb Brenner. And Mr. George Stevens. And last but not least, I thank you, the Academy.
",https://www.youtube.com/watch?v=UWkulpJeNqM&list=PLJ8RjvesnvDPUH2HN2rOv2-5CjSA2Jl6T&index=7,Shelley Winters
1960,Actress in a Supporting Role,Elmer Gantry,Shirley Jones," SHIRLEY JONES:
Thank you very much. I can only think that I wouldn't be standing here tonight accepting this Oscar if it weren't for another Oscar – Hammerstein – and Mr. Richard Rodgers. And also for the belief of Mr. Burt Lancaster, Mr. Richard Brooks, and Mr. Bernie Smith having me and allowing me to play the part of ""Lulu Bains"" in ""Elmer Gantry."" This is the proudest moment of my career because of them. Thank you all.
",,Shirley Jones
1960,Art Direction (Color),Spartacus,"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron (Eric Orbom, Jr. accepted for his father)"," ALEXANDER GOLITZEN:
I want to thank all the artists and craftsman that helped us with this picture.

ERIC ORBOM, JR.:
This award represents the culmination of a man's life in his career in the movie industry. I can think of no greater achievement for a man. Thank you.
",,Julia Heron
1960,Honorary Award,None,"To Gary Cooper for his many memorable screen performances and the international recognition he, as an individual, has gained for the motion picture industry. (not present; accepted by James Stewart)"," JAMES STEWART:
I'm very honored to accept this award for Gary Cooper; I'm only sorry that he isn't here tonight to accept it in person. But I know that he's sitting beside his television set tonight. So, Coop, I'll get this to you right away. And, Coop, I want you to know this: that with this goes all the warm friendship, and the affection, and the admiration, and the deep, the deep respect of all of us. We're very, very proud of you, Coop. All of us are tremendously proud.
",,Hayley Mills
1960,Honorary Award,None,To Stan Laurel for his creative pioneering in the field of cinema comedy. (not present; accepted by presenter)," DANNY KAYE:
Ladies and gentlemen, when the fat man with the derby hat and the tall, thin man with the sad face first came on the screen together, that was way back in 1926. They made the world laugh [for] 24 years. Twenty-four years. And they made us laugh because in them we kind of saw ourselves – ridiculous, frustrated, up to our necks in trouble, but nevertheless ourselves. Oliver Hardy delicately tipped his derby hat with his pudgy little fingers and left us a little while back. But the thin, sad-faced one, the one from whose fertile mind sprang many of the universally humorous notions that have been borrowed so freely by the comedians who have followed, he's still with us. Unhappily, he isn't well enough to be here with us this evening, but I'm very proud indeed to accept for him from the Board of Governors this award for ""creative pioneering in the field of comedy,"" presented to one of the really great men of our chosen profession, Mr. Stan Laurel.
",https://www.youtube.com/watch?v=e16Bbpty7-E,Hayley Mills
1960,Honorary Award,Pollyanna,"To Hayley Mills for ""Pollyanna,"" the most outstanding juvenile performance during 1960. (not present; accepted by Annette Funicello)"," ANNETTE FUNICELLO:
On behalf of Hayley Mills and Walt Disney, thank you very much. Thank you, Shirley.
",,Hayley Mills
1961,Actress in a Supporting Role,West Side Story,Rita Moreno," RITA MORENO:
I can't believe it! Good Lord. I leave you with that.
",,Rita Moreno
1962,Actress in a Supporting Role,The Miracle Worker,Patty Duke," PATTY DUKE:
Thank you.
",,Patty Duke
1963,Actress in a Supporting Role,The V.I.P.s,Margaret Rutherford (not present; accepted by Peter Ustinov)," PETER USTINOV:
May I, on behalf of a most distinguished, most deserving, and most funny friend, say thank you very much indeed.
",,Margaret Rutherford
1964,Actress in a Supporting Role,Zorba the Greek,Lila Kedrova," LILA KEDROVA:
Do you know, really I am so surprised that I can't, I don't know what... I have to say, I think that I will say that, thank you to this marvelous people of [unintelligible] Academy Awards. And thank you, thank you so much my dear, dear Michael Cacoyannis. Because it was your fault, it was not mine. I will never forget it. Never.
",,Lila Kedrova
1965,Actress in a Supporting Role,A Patch of Blue,Shelley Winters," SHELLEY WINTERS:
Thank you very much, members of the Academy, for giving this to me the second time in my life. I wish to thank very much my director, Mr. Guy Green, who truly understood the role I played better than I did. And I would like to especially thank Mr. Pandro Berman for not only making such a sensitive, beautiful picture about a subject of integration such as ""A Patch of Blue"" is, but for making the picture a box-office success, which is very important for subjects like these. And I'd like to thank my agent again, Herb Brenner. Thank you.
",,Shelley Winters
1966,Actress in a Supporting Role,Who's Afraid of Virginia Woolf?,Sandy Dennis (not present; accepted by director Mike Nichols)," MIKE NICHOLS:
Sandy thanks you very much. I thank Sandy. It was nice to be up here.
",,Sandy Dennis
1967,Actress in a Supporting Role,Bonnie and Clyde,Estelle Parsons," ESTELLE PARSONS:
Boy, it's heavy! I have to thank David Merrick who let me out of my Broadway play ""The Seven Descents of Myrtle"" so I could be here this evening, and little did he know what it would really mean to me. I also first want to express my great gratitude to Arthur Penn, my own particular genius, for really showing me acting was something very special. And, of course, to Warren Beatty. And thank you all. This is a great moment.
",,Estelle Parsons
1968,Actress in a Supporting Role,Rosemary's Baby,Ruth Gordon," RUTH GORDON:
I can't tell you how encouragin' a thing like this is. The first film that I was ever in was in 1915 and here we are and it's 1969. Actually, I don't know why it took me so long; though I don't think, you know, that I'm backward. Anyway. Thank you, Bill. Thank you, Bob. Thank you, Roman. And thank you, Mia. And thank all of you who voted for me. And all of you who didn't, please excuse me.
",,Ruth Gordon
1968,Jean Hersholt Humanitarian Award,None,Martha Raye," BOB HOPE:
Martha, I know that you probably don't realize you're the first woman to ever receive the Jean Hersholt Award.

MARTHA RAYE:
Yes, sir, I do realize it. I do realize it. [To Bob Hope:] I'm so nervous...

BOB HOPE:
I know, but you're on.

MARTHA RAYE:
[To Bob Hope:] Oh, I'm sorry...

Academy, ladies and gentlemen, my dear, beautiful legend Bob Hope. This is the most beautiful, honorable, wonderful, exciting day of my life – stateside. And on behalf of all of our troops, myself, I promise you I shall try for the rest of my life to really deserve and be worthy of this magnificent honor bestowed upon me. God bless you and thank you.
",,Martha Raye
